date,tx_type,sec_name,amount,ticker,units,unit_price
2025-06-16 12:00:00+00:00,SELL,WESTERN UNION CO,865.00000000,WU,-100.0000,8.6500
2025-06-16 12:00:00+00:00,SELL,WESTERN UNION CO,860.00000000,WU,-100.0000,8.6000
2025-06-16 12:00:00+00:00,SELL,EA SER TR,2249.40000000,BOXX,-20.0000,112.4700
2025-06-18 12:00:00+00:00,BUY,VERIZON COMMUNICATIONS,-4167.716000000,VZ,100.0000,41.67716
2025-06-23 12:00:00+00:00,CREDIT,CONNECTONE BANCORP INC,5.83,,,
2025-06-24 12:00:00+00:00,SELL,SPDR SERIES TRUST,2362.00000000,SPHY,-100.0000,23.6200
2025-06-24 12:00:00+00:00,BUY,PIMCO CORPORATE & INCOME,-1363.99000000,PTY,100.0000,13.6399
2025-06-24 12:00:00+00:00,BUY,MFA FINANCIAL INC,-959.50000000,MFA,100.0000,9.5950
2025-06-26 12:00:00+00:00,SELL,CONNECTONE BANCORP INC,1260.60000000,CNOB,-55.0000,22.9200
2025-06-27 12:00:00+00:00,BUY,AGNC INVESTMENT CORP,-1846.00000000,AGNC,200.0000,9.2300
2025-06-27 12:00:00+00:00,SELL,FS KKR CAPITAL CORP,2059.32000000,FSK,-100.0000,20.5932
2025-06-27 12:00:00+00:00,BUY,AGNC INVESTMENT CORP,-923.00000000,AGNC,100.0000,9.2300
2025-06-27 12:00:00+00:00,BUY,PIMCO CORPORATE & INCOME,-1375.00000000,PTY,100.0000,13.7500
2025-06-27 12:00:00+00:00,SELL,EA SER TR,2816.50000000,BOXX,-25.0000,112.6600
2025-06-27 12:00:00+00:00,DIV,SHP ETF TR,50.4700,SPYI,,
2025-06-30 12:00:00+00:00,DIV,WESTERN UNION CO,117.5000,WU,,
2025-06-30 12:00:00+00:00,DIV,ELLINGTON FINANCIAL INC,39.0000,EFC,,
2025-07-01 12:00:00+00:00,DIV,PENNANTPARK INVESTMENT CORP,32.0000,PNNT,,
2025-07-02 12:00:00+00:00,DIV,RBB FD INC,15.1700,UTWO,,
2025-07-02 12:00:00+00:00,DIV,FS KKR CAPITAL CORP,210.0000,FSK,,
2025-07-03 12:00:00+00:00,BUY,PLAINS ALL AMERICAN PIPELINE,-1840.65000000,PAA,100.0000,18.4065
2025-07-03 12:00:00+00:00,BUY,ENERGY TRANSFER LP,-1790.50000000,ET,100.0000,17.9050
2025-07-03 12:00:00+00:00,SELL,EA SER TR,563.57500000,BOXX,-5.0000,112.7150
2025-07-03 12:00:00+00:00,DIV,J P MORGAN EXCHANGE-TRADED FD,49.4200,JEPQ,,
2025-07-08 12:00:00+00:00,SELL,CONNECTONE BANCORP INC,2503.00000000,CNOB,-100.0000,25.0300
2025-07-08 12:00:00+00:00,DIV,ISHARES INTEREST RATE HEDGED,48.7300,HYGH,,
2025-07-08 12:00:00+00:00,DEBIT,ACH WITHDRAWAL,-300.00,,,
2025-07-09 12:00:00+00:00,BUY,GLOBAL X FUNDS,-3705.73500000,CLIP,37.0000,100.1550
2025-07-09 12:00:00+00:00,BUY,GLOBAL X FUNDS,-8312.86500000,CLIP,83.0000,100.1550
2025-07-09 12:00:00+00:00,SELL,EA SER TR,13531.66800000,BOXX,-120.0000,112.7639
2025-07-09 12:00:00+00:00,BUY,PIMCO CORPORATE & INCOME,-1271.00000000,PCN,100.0000,12.7100
2025-07-09 12:00:00+00:00,BUY,PIMCO CORPORATE & INCOME,-1271.00000000,PCN,100.0000,12.7100
